Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.34972884256682435
75% Corpus,2,0.01,0.31,0.33751749368308415
75% Corpus,2,0.01,0.61,0.4392484381079951
75% Corpus,2,0.01,0.9099999999999999,0.4392484381079951
75% Corpus,2,0.01,symmetric,0.39557089259150624
75% Corpus,2,0.31,0.01,0.34972884256682435
75% Corpus,2,0.31,0.31,0.33751749368308415
75% Corpus,2,0.31,0.61,0.39701839342822104
75% Corpus,2,0.31,0.9099999999999999,0.4392484381079951
75% Corpus,2,0.31,symmetric,0.33751749368308415
75% Corpus,2,0.61,0.01,0.37031859819192603
75% Corpus,2,0.61,0.31,0.3399505853325455
75% Corpus,2,0.61,0.61,0.32470120729468455
75% Corpus,2,0.61,0.9099999999999999,0.42193183443445326
75% Corpus,2,0.61,symmetric,0.33751749368308415
75% Corpus,2,0.9099999999999999,0.01,0.38975051682076056
75% Corpus,2,0.9099999999999999,0.31,0.36054034095764714
75% Corpus,2,0.9099999999999999,0.61,0.3401525696489776
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.42193183443445326
75% Corpus,2,0.9099999999999999,symmetric,0.33751749368308415
75% Corpus,2,symmetric,0.01,0.37031859819192603
75% Corpus,2,symmetric,0.31,0.3399505853325455
75% Corpus,2,symmetric,0.61,0.40021770070133456
75% Corpus,2,symmetric,0.9099999999999999,0.439248438107995
75% Corpus,2,symmetric,symmetric,0.33751749368308404
75% Corpus,2,asymmetric,0.01,0.3781126729173344
75% Corpus,2,asymmetric,0.31,0.3790544920988552
75% Corpus,2,asymmetric,0.61,0.37972526908009263
75% Corpus,2,asymmetric,0.9099999999999999,0.4403102052185738
75% Corpus,2,asymmetric,symmetric,0.36198594514492927
75% Corpus,3,0.01,0.01,0.46100410281237786
75% Corpus,3,0.01,0.31,0.44938284583306043
75% Corpus,3,0.01,0.61,0.4353360481742276
75% Corpus,3,0.01,0.9099999999999999,0.3939486073683724
75% Corpus,3,0.01,symmetric,0.44938284583306043
75% Corpus,3,0.31,0.01,0.46100410281237786
75% Corpus,3,0.31,0.31,0.44938284583306043
75% Corpus,3,0.31,0.61,0.43230858096024144
75% Corpus,3,0.31,0.9099999999999999,0.43017662725812994
75% Corpus,3,0.31,symmetric,0.44938284583306043
75% Corpus,3,0.61,0.01,0.4651420412932663
75% Corpus,3,0.61,0.31,0.4412082106976696
75% Corpus,3,0.61,0.61,0.4324238890330628
75% Corpus,3,0.61,0.9099999999999999,0.4304711486523063
75% Corpus,3,0.61,symmetric,0.4412082106976696
75% Corpus,3,0.9099999999999999,0.01,0.4499914231033173
75% Corpus,3,0.9099999999999999,0.31,0.45488855117688526
75% Corpus,3,0.9099999999999999,0.61,0.4412082106976696
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.4324238890330628
75% Corpus,3,0.9099999999999999,symmetric,0.45488855117688526
75% Corpus,3,symmetric,0.01,0.46100410281237786
75% Corpus,3,symmetric,0.31,0.44938284583306043
75% Corpus,3,symmetric,0.61,0.43230858096024144
75% Corpus,3,symmetric,0.9099999999999999,0.43017662725812994
75% Corpus,3,symmetric,symmetric,0.44938284583306043
75% Corpus,3,asymmetric,0.01,0.46356586524964954
75% Corpus,3,asymmetric,0.31,0.44708698216622506
75% Corpus,3,asymmetric,0.61,0.4386299988035837
75% Corpus,3,asymmetric,0.9099999999999999,0.4646454598466847
75% Corpus,3,asymmetric,symmetric,0.44708698216622506
75% Corpus,4,0.01,0.01,0.4382854143262894
75% Corpus,4,0.01,0.31,0.430634977562282
75% Corpus,4,0.01,0.61,0.45809266019258427
75% Corpus,4,0.01,0.9099999999999999,0.45918763993999123
75% Corpus,4,0.01,symmetric,0.4375459886801378
75% Corpus,4,0.31,0.01,0.41192815201821764
75% Corpus,4,0.31,0.31,0.4514150710209624
75% Corpus,4,0.31,0.61,0.4362056978830041
75% Corpus,4,0.31,0.9099999999999999,0.45523992842897526
75% Corpus,4,0.31,symmetric,0.438548491227106
75% Corpus,4,0.61,0.01,0.4202958573153498
75% Corpus,4,0.61,0.31,0.43404369240962426
75% Corpus,4,0.61,0.61,0.44824042146530174
75% Corpus,4,0.61,0.9099999999999999,0.4587105153077641
75% Corpus,4,0.61,symmetric,0.43825348724996155
75% Corpus,4,0.9099999999999999,0.01,0.4154463774051375
75% Corpus,4,0.9099999999999999,0.31,0.43401127717498167
75% Corpus,4,0.9099999999999999,0.61,0.4457285683032699
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.45410443092702724
75% Corpus,4,0.9099999999999999,symmetric,0.43472624084909733
75% Corpus,4,symmetric,0.01,0.4272203637054658
75% Corpus,4,symmetric,0.31,0.4514150710209624
75% Corpus,4,symmetric,0.61,0.4362056978830041
75% Corpus,4,symmetric,0.9099999999999999,0.4498942938605482
75% Corpus,4,symmetric,symmetric,0.4423756381867509
75% Corpus,4,asymmetric,0.01,0.42062920513345137
75% Corpus,4,asymmetric,0.31,0.4417474429144415
75% Corpus,4,asymmetric,0.61,0.41767892559194075
75% Corpus,4,asymmetric,0.9099999999999999,0.4394231771394267
75% Corpus,4,asymmetric,symmetric,0.4295809549444403
75% Corpus,5,0.01,0.01,0.42890838977783907
75% Corpus,5,0.01,0.31,0.41690755809911745
75% Corpus,5,0.01,0.61,0.3904316437038683
75% Corpus,5,0.01,0.9099999999999999,0.39725049942368595
75% Corpus,5,0.01,symmetric,0.41794867602829655
75% Corpus,5,0.31,0.01,0.43187678923982037
75% Corpus,5,0.31,0.31,0.3955829862223591
75% Corpus,5,0.31,0.61,0.3870143601938579
75% Corpus,5,0.31,0.9099999999999999,0.4031327342453772
75% Corpus,5,0.31,symmetric,0.39294318606356504
75% Corpus,5,0.61,0.01,0.4392875597655008
75% Corpus,5,0.61,0.31,0.411887426920852
75% Corpus,5,0.61,0.61,0.4042184422043634
75% Corpus,5,0.61,0.9099999999999999,0.39187221373168535
75% Corpus,5,0.61,symmetric,0.4134493481853611
75% Corpus,5,0.9099999999999999,0.01,0.43665057092170256
75% Corpus,5,0.9099999999999999,0.31,0.43427414061531167
75% Corpus,5,0.9099999999999999,0.61,0.40767743716416127
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.4189235594099908
75% Corpus,5,0.9099999999999999,symmetric,0.4358742728554824
75% Corpus,5,symmetric,0.01,0.4272456603988804
75% Corpus,5,symmetric,0.31,0.4169075580991174
75% Corpus,5,symmetric,0.61,0.38745328105957816
75% Corpus,5,symmetric,0.9099999999999999,0.3923118325749256
75% Corpus,5,symmetric,symmetric,0.41180287238111557
75% Corpus,5,asymmetric,0.01,0.43645716596829554
75% Corpus,5,asymmetric,0.31,0.41559910754776413
75% Corpus,5,asymmetric,0.61,0.41364274952014607
75% Corpus,5,asymmetric,0.9099999999999999,0.4030436431179085
75% Corpus,5,asymmetric,symmetric,0.4086660007876578
75% Corpus,6,0.01,0.01,0.37273069991965574
75% Corpus,6,0.01,0.31,0.45057621211109306
75% Corpus,6,0.01,0.61,0.3566927873202024
75% Corpus,6,0.01,0.9099999999999999,0.3643205225708748
75% Corpus,6,0.01,symmetric,0.44073787291133465
75% Corpus,6,0.31,0.01,0.41602114848376187
75% Corpus,6,0.31,0.31,0.44634595171222496
75% Corpus,6,0.31,0.61,0.4515667727874108
75% Corpus,6,0.31,0.9099999999999999,0.35788372530302226
75% Corpus,6,0.31,symmetric,0.4028234752185261
75% Corpus,6,0.61,0.01,0.4194573598149831
75% Corpus,6,0.61,0.31,0.39940097990812323
75% Corpus,6,0.61,0.61,0.4302791983265759
75% Corpus,6,0.61,0.9099999999999999,0.4469620026977839
75% Corpus,6,0.61,symmetric,0.4076290820900377
75% Corpus,6,0.9099999999999999,0.01,0.4289616187593173
75% Corpus,6,0.9099999999999999,0.31,0.42399800389880354
75% Corpus,6,0.9099999999999999,0.61,0.428762570988616
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.4285699920809633
75% Corpus,6,0.9099999999999999,symmetric,0.41617515288035145
75% Corpus,6,symmetric,0.01,0.42538150669978525
75% Corpus,6,symmetric,0.31,0.4464436898006612
75% Corpus,6,symmetric,0.61,0.3627950313337523
75% Corpus,6,symmetric,0.9099999999999999,0.3654015947649816
75% Corpus,6,symmetric,symmetric,0.4302791983265759
75% Corpus,6,asymmetric,0.01,0.3939780559599202
75% Corpus,6,asymmetric,0.31,0.4068731664246006
75% Corpus,6,asymmetric,0.61,0.3860595732458543
75% Corpus,6,asymmetric,0.9099999999999999,0.38092258436996523
75% Corpus,6,asymmetric,symmetric,0.38480572735364477
75% Corpus,7,0.01,0.01,0.433827866297209
75% Corpus,7,0.01,0.31,0.406684916652247
75% Corpus,7,0.01,0.61,0.4643985788951266
75% Corpus,7,0.01,0.9099999999999999,0.4613657116598557
75% Corpus,7,0.01,symmetric,0.42293387633496826
75% Corpus,7,0.31,0.01,0.4100790774022925
75% Corpus,7,0.31,0.31,0.41296714085268355
75% Corpus,7,0.31,0.61,0.4029156624332275
75% Corpus,7,0.31,0.9099999999999999,0.4572967139419877
75% Corpus,7,0.31,symmetric,0.41242809514681505
75% Corpus,7,0.61,0.01,0.42430167919457895
75% Corpus,7,0.61,0.31,0.4059382173111046
75% Corpus,7,0.61,0.61,0.3950907586080218
75% Corpus,7,0.61,0.9099999999999999,0.39883090072227734
75% Corpus,7,0.61,symmetric,0.40790695379574854
75% Corpus,7,0.9099999999999999,0.01,0.4366185182632199
75% Corpus,7,0.9099999999999999,0.31,0.4333510970316444
75% Corpus,7,0.9099999999999999,0.61,0.41501252309085207
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.41501252309085207
75% Corpus,7,0.9099999999999999,symmetric,0.4333510970316444
75% Corpus,7,symmetric,0.01,0.4194170994891233
75% Corpus,7,symmetric,0.31,0.4147837801925084
75% Corpus,7,symmetric,0.61,0.3940446800829883
75% Corpus,7,symmetric,0.9099999999999999,0.4587590561547081
75% Corpus,7,symmetric,symmetric,0.4199380052364647
75% Corpus,7,asymmetric,0.01,0.4101929294144723
75% Corpus,7,asymmetric,0.31,0.4104298546933368
75% Corpus,7,asymmetric,0.61,0.4119439616295861
75% Corpus,7,asymmetric,0.9099999999999999,0.45003593005630627
75% Corpus,7,asymmetric,symmetric,0.41681657563563584
75% Corpus,8,0.01,0.01,0.391368535654814
75% Corpus,8,0.01,0.31,0.39704224666319776
